,Factor1,,,,Factor2,,,,Factor3,,
CONT,0.735,,,NOMZ,0.716,,,,VBD,0.983,
FPP1,0.708,,,AWL,0.652,,,,TPP3,0.375,
RB,0.599,,,THVC,0.355,,,,PUBV,0.321,
XX0,0.571,,,CONJ,0.347,,,,,,
VPRT,0.555,,,JJ,0.319,,,,,,
BEMA,0.547,,,,,,,,THATD,0.264,crossloading on factor1
PIT,0.484,,,SUAV,0.296,suasive,,,,,
PRIV,0.46,,,PASS,0.266,,,,,,
SPP2,0.445,,,NEMD,0.229,necessity modals,,,,,
EMPH,0.449,,,TTR,0.214,,,,VPRT,-0.523,
COND,0.423,,,TSUB,0.209,,,,,,
PROD,0.398,,,,,,,,,,
PRED,0.35,,,,,,,,SPP2,-0.26,2nd person
THATD,0.334,,,,,,,,POMD,-0.206,possibility modals
DEMP,0.33,,,,,,,,,,
,,,,,,,,,,,
,,,,FPP1,-0.258,,,,3 positive salient features,,
HDG,0.281,,,CONT,-0.223,,,,1 negative salient feature,,
STPR,0.293,,,NN,-0.235,,,,,,
WHCL,0.259,,,,,,,,,,
CAUS,0.256,,,,,,,,,,
TO,0.275,,,5 positive salient features,,,,,factors is not well defined (we need 5 salient loadings),,
TPP3,0.223,,,no negative salient features,,,,,reminds me of the narrative-descriptive vs. instructional,,
DPAR,0.226,,,,,,,,,,
POMD,0.263,,,,,,,,,,
PRMD,0.252,,,,,,,,,,
,,,,Informational-argumentative,,,,,,,
,,,,,,,,,,,
,,,,note that nouns are not salient here but only nominalisations. This means lexical specificity,,,,,,,
,,,,conjuncts indicate argumentation,,,,,,,
AWL,-1.036,,,confirmed by 2ndary features NEMD and SUAV,,,,,,,
NN,-0.737,,,,,,,,,,
NOMZ,-0.706,,,,,,,,,,
PIN,-0.64,,,,,,,,,,
JJ,-0.497,,,,,,,,,,
PHC,-0.462,phrasal coordination,,,,,,,,,
WZPAST,-0.379,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PASS,-0.272,,,,,,,,,,
GER,-0.251,,,,,,,,,,
BYPA,-0.242,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
15 positive salient features,,,,,,,,,,,
7 negative salient features,,,,,,,,,,,
,,,,,,,,,,,
Dimension 1 Involved-evaluative vs. informational,,,,,,,,,,,
OR Involved vs. informational,,,,,,,,,,,
,,,,,,,,,,,
the evaluative component is maybe not as strong. ,,,,,,,,,,,
downtown BEMA focus on involvement,,,,,,,,,,,
explains why comments are not representative here,,,,,,,,,,,
"in fact most features indicate disjunct speech, reduced surface forms",,,,,,,,,,,
